medallion,hack_license,vendor_id,rate_code,store_and_fwd_flag,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude
CBA5A347BB1107C22444175A81393D41,AE3664048097EAEBF73CB279944741A6,CMT,1,N,06-01-13 16:37,06-01-13 16:41,1,-73.995102,40.744781,-73.992508,40.738434
D5367E940A20B9D2550BF7CF7AE01681,5B34A2589D1D2106FC0C47564A4833F0,CMT,1,N,08-01-13 10:08,08-01-13 10:18,2,-73.972366,40.762138,-73.957542,40.782902
37BDEA2E54A3B70CBFA5B0D1C3A75FE2,730A179A7F97126B694CABFB93CC3A0C,CMT,1,N,08-01-13 07:49,08-01-13 07:57,2,-74.00679,40.754345,-73.980316,40.784081
0428E3DD09EA5A63D85509C7CA8C0199,A4B0B563E94A1C3ADA0B308161EDCB5A,CMT,1,N,07-01-13 16:19,07-01-13 16:24,1,0,0,0,0
B33E71CD9E8FE1BE3B70FEB6E807DD15,BAF57796E45D921BB23217E17A372FF6,CMT,1,N,06-01-13 00:15,06-01-13 00:27,1,-74.005058,40.728676,-73.977501,40.757061
7A9728FFD700148BF60616DA97FFC3C3,D25781FA72D2C328B9F120736E6CAA68,CMT,1,N,08-01-13 10:59,08-01-13 11:04,1,-73.960358,40.769138,-73.961914,40.775684
4C005EEBAA7BF26B84B21586332488A2,351BE7D984BE17DB2FA80A748E816472,CMT,1,N,07-01-13 20:49,07-01-13 21:11,2,-73.874374,40.774078,-73.978325,40.764835
DDB3F3E0172B1FBF0C9E39CA773CC6E3,559F071794B7213986693B57DCEDDEE5,CMT,1,N,07-01-13 18:42,07-01-13 18:49,1,0,0,0,0
DDB3F3E0172B1FBF0C9E39CA773CC6E3,559F071794B7213986693B57DCEDDEE5,CMT,1,N,07-01-13 20:19,07-01-13 20:23,1,0,0,0,0
32D306FD3A4D7CEDCFD8D644294DD5B7,05EACD5B806FC3D01A377606D37CF327,CMT,1,N,08-01-13 10:17,08-01-13 10:36,1,-73.985962,40.758213,-73.950424,40.783554
0A3EF18FFD7FA5327C66C6B1CE068F3A,E8BD33FAF31C98E52D1E45A60216113B,CMT,1,N,01-01-13 23:26,01-01-13 23:49,2,-73.783318,40.648636,-73.964249,40.719543
B14118AD4BF381D80035EF546CE7AEFA,9DCEE90343F24D475B3A19A3F10AE801,CMT,1,N,10-01-13 14:11,10-01-13 14:29,1,-74.00843,40.707649,-73.992279,40.749187
C6CE309A20A523E64FDCDECF150A2EC1,3DC3C9552D190C5D26B0358C23E449A6,CMT,1,N,10-01-13 12:08,10-01-13 12:12,1,-73.987953,40.761723,-73.989838,40.756985
C6CE309A20A523E64FDCDECF150A2EC1,3DC3C9552D190C5D26B0358C23E449A6,CMT,1,N,10-01-13 07:07,10-01-13 07:19,1,-73.994026,40.719303,-73.978729,40.762787
5E162F2D7F569949769648C56A23C525,6F7932F2B112DAABF1F2A385FE2AB819,CMT,1,N,08-01-13 03:13,08-01-13 03:34,1,-73.997856,40.756405,-73.872955,40.774406
82420BD631D2BB88E2F213A8CA15BECE,213779F7AA40E58009B3457E3FA7089D,CMT,1,N,08-01-13 10:21,08-01-13 10:24,1,-73.988632,40.73122,-73.986717,40.738674
A5A69FAD94C3DC7854F9DDEA994B6380,178BA04DD1A4E3A184C86AA3F110A742,CMT,1,N,10-01-13 10:08,10-01-13 10:31,1,-73.990204,40.748875,-73.958092,40.765244
A5A69FAD94C3DC7854F9DDEA994B6380,178BA04DD1A4E3A184C86AA3F110A742,CMT,1,N,10-01-13 13:45,10-01-13 13:55,1,-73.994225,40.743343,-73.990562,40.724537
1ABD0BB8B7278A49B4F6502B59E1CEFB,AE49AF37C8856F2EA32953F207A9C339,CMT,1,N,01-01-13 23:33,01-01-13 23:36,2,-73.983711,40.756092,-73.98494,40.748222
4728FA63A46613319446ED726626FED3,4A6C8D08FAB98E9C9B21399C5255EED0,CMT,1,N,08-01-13 08:04,08-01-13 08:13,1,-74.000961,40.747326,-73.981567,40.742344
CD847FE5884F10A28217E9FBA11B275B,5FEFD00D9773268B72EE4E879852F190,CMT,1,N,08-01-13 12:48,08-01-13 12:55,1,-74.000534,40.742233,-74.005173,40.728985
CD847FE5884F10A28217E9FBA11B275B,5FEFD00D9773268B72EE4E879852F190,CMT,1,N,08-01-13 11:20,08-01-13 11:38,1,-73.991524,40.750286,-73.970345,40.751801
961D9C9506D105D3A7E88229F0487033,65683B8714DEF5F783E75E8111784177,CMT,1,N,10-01-13 16:16,10-01-13 16:22,2,-74.006844,40.741451,-73.994499,40.75061
24BBC0F0660705A705213997B408E775,DFAAB8123DBA2696AFE3E289530BFDD1,CMT,1,N,07-01-13 15:32,07-01-13 15:35,1,-73.970627,40.788956,-73.96949,40.797729
